Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-30T00:00:00Z,IN,India,SEARO,1,1,0,0
2020-01-31T00:00:00Z,IN,India,SEARO,0,1,0,0
2020-02-01T00:00:00Z,IN,India,SEARO,0,1,0,0
2020-02-02T00:00:00Z,IN,India,SEARO,1,2,0,0
2020-02-03T00:00:00Z,IN,India,SEARO,1,3,0,0
2020-02-04T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-05T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-06T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-07T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-08T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-09T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-10T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-11T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-12T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-13T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-14T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-15T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-16T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-17T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-18T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-19T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-20T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-21T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-22T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-23T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-24T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-25T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-26T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-27T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-28T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-02-29T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-03-01T00:00:00Z,IN,India,SEARO,0,3,0,0
2020-03-02T00:00:00Z,IN,India,SEARO,2,5,0,0
2020-03-03T00:00:00Z,IN,India,SEARO,0,5,0,0
2020-03-04T00:00:00Z,IN,India,SEARO,22,27,0,0
2020-03-05T00:00:00Z,IN,India,SEARO,2,29,0,0
2020-03-06T00:00:00Z,IN,India,SEARO,2,31,0,0
2020-03-07T00:00:00Z,IN,India,SEARO,3,34,0,0
2020-03-08T00:00:00Z,IN,India,SEARO,5,39,0,0
2020-03-09T00:00:00Z,IN,India,SEARO,5,44,0,0
2020-03-10T00:00:00Z,IN,India,SEARO,6,50,0,0
2020-03-11T00:00:00Z,IN,India,SEARO,10,60,0,0
2020-03-12T00:00:00Z,IN,India,SEARO,14,74,0,0
2020-03-13T00:00:00Z,IN,India,SEARO,7,81,1,1
2020-03-14T00:00:00Z,IN,India,SEARO,3,84,1,2
2020-03-15T00:00:00Z,IN,India,SEARO,23,107,0,2
2020-03-16T00:00:00Z,IN,India,SEARO,7,114,0,2
2020-03-17T00:00:00Z,IN,India,SEARO,23,137,1,3
2020-03-18T00:00:00Z,IN,India,SEARO,14,151,0,3
2020-03-19T00:00:00Z,IN,India,SEARO,44,195,1,4
2020-03-20T00:00:00Z,IN,India,SEARO,0,195,0,4
2020-03-21T00:00:00Z,IN,India,SEARO,88,283,0,4
2020-03-22T00:00:00Z,IN,India,SEARO,58,341,1,5
2020-03-23T00:00:00Z,IN,India,SEARO,93,434,4,9
2020-03-24T00:00:00Z,IN,India,SEARO,85,519,0,9
2020-03-25T00:00:00Z,IN,India,SEARO,87,606,1,10
